model,train_mse,valid_mse,train_r2,valid_r2,test_zone_acc
random_forest,6.362723535202303e-06,1.2235129091000976e-05,0.9858961024800529,0.9656920009058167,0.949
gradient_boost,7.967561042119957e-05,8.516532307515006e-05,0.8171285240634425,0.7748093883154532,0.095
linear_regression,7.126449905880738e-06,1.054630189887312e-05,0.9820928950000744,0.9702137745426337,0.93
knn_regression,0.00033180218499247215,0.00046500337005048816,0.21669392126634818,-0.27360433265877426,0.035
decision_tree,3.3347061330060645e-06,1.794107726725081e-05,0.9923362333937642,0.9506402808705446,0.737
