vendor,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_zone,dropoff_zone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
VeriFone Inc.,11/23/2021 12:44:02 PM,11/23/2021 12:48:43 PM,1.0,0.68,Standard rate,N,142,239,Credit card,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
VeriFone Inc.,11/10/2021 07:37:40 PM,11/10/2021 07:45:32 PM,2.0,0.16,Standard rate,N,230,50,Credit card,6.0,1.0,0.5,2.58,0.0,0.3,12.88,2.5
VeriFone Inc.,11/22/2021 06:25:13 PM,11/22/2021 06:33:42 PM,1.0,1.22,Standard rate,N,163,164,Credit card,7.5,1.0,0.5,2.0,0.0,0.3,13.8,2.5
VeriFone Inc.,11/02/2021 10:58:34 AM,11/02/2021 11:03:00 AM,1.0,1.26,Standard rate,N,249,246,Credit card,6.0,0.0,0.5,2.79,0.0,0.3,12.09,2.5
VeriFone Inc.,11/21/2021 01:59:47 PM,11/21/2021 02:21:58 PM,1.0,2.84,Standard rate,N,43,249,Credit card,15.5,0.0,0.5,2.0,0.0,0.3,20.8,2.5
VeriFone Inc.,11/18/2021 09:35:46 PM,11/18/2021 09:55:40 PM,2.0,2.62,Standard rate,N,114,68,Credit card,14.0,0.5,0.5,4.45,0.0,0.3,22.25,2.5
VeriFone Inc.,11/27/2021 05:14:09 PM,11/27/2021 05:37:26 PM,2.0,2.33,Standard rate,N,230,249,Credit card,15.5,0.0,0.5,3.76,0.0,0.3,22.56,2.5
VeriFone Inc.,11/21/2021 11:45:05 AM,11/21/2021 12:01:35 PM,1.0,2.53,Standard rate,N,43,164,Credit card,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
VeriFone Inc.,11/18/2021 09:52:47 PM,11/18/2021 10:02:25 PM,1.0,1.17,Standard rate,N,107,170,Cash,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
VeriFone Inc.,11/07/2021 01:43:31 AM,11/07/2021 01:50:00 AM,1.0,2.23,Standard rate,N,144,233,Credit card,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
